user_id,pack_id,purchase_ts,price_bdt
U0000001,P005,2025-08-03 10:00:00,49.0
U0000001,P011,2025-08-05 19:00:00,299.0
U0000001,P006,2025-09-06 02:00:00,89.0
U0000001,P010,2025-09-13 00:00:00,79.0
U0000001,P012,2025-09-14 12:00:00,199.0
U0000001,P009,2025-09-15 08:00:00,249.0
U0000002,P004,2025-08-11 00:00:00,499.0
U0000002,P002,2025-08-23 19:00:00,99.0
U0000002,P011,2025-08-30 12:00:00,299.0
U0000002,P004,2025-09-08 05:00:00,499.0
U0000002,P008,2025-09-10 23:00:00,219.0
U0000003,P008,2025-08-10 23:00:00,219.0
U0000003,P007,2025-08-18 00:00:00,88.0
U0000003,P012,2025-08-21 09:00:00,199.0
U0000003,P007,2025-09-06 13:00:00,88.0
U0000003,P011,2025-09-13 02:00:00,299.0
U0000004,P004,2025-08-13 04:00:00,499.0
U0000004,P007,2025-08-20 22:00:00,88.0
U0000004,P007,2025-08-29 07:00:00,88.0
U0000004,P006,2025-08-30 05:00:00,89.0
U0000004,P002,2025-09-08 15:00:00,99.0
U0000004,P007,2025-09-12 21:00:00,88.0
U0000004,P012,2025-09-16 10:00:00,199.0
U0000005,P009,2025-08-24 12:00:00,249.0
U0000005,P005,2025-08-25 07:00:00,49.0
U0000005,P004,2025-09-03 06:00:00,499.0
U0000005,P002,2025-09-05 21:00:00,99.0
U0000005,P003,2025-09-12 07:00:00,199.0
U0000005,P004,2025-09-13 16:00:00,499.0
U0000006,P002,2025-08-14 10:00:00,99.0
U0000006,P009,2025-08-29 20:00:00,249.0
U0000007,P003,2025-08-04 10:00:00,199.0
U0000007,P011,2025-08-16 15:00:00,299.0
U0000007,P001,2025-08-23 17:00:00,69.0
U0000007,P006,2025-08-25 10:00:00,89.0
U0000007,P005,2025-08-30 07:00:00,49.0
U0000007,P007,2025-09-04 21:00:00,88.0
U0000008,P001,2025-08-03 06:00:00,69.0
U0000008,P010,2025-08-04 18:00:00,79.0
U0000008,P001,2025-08-17 19:00:00,69.0
U0000008,P004,2025-08-22 03:00:00,499.0
U0000008,P010,2025-08-26 17:00:00,79.0
U0000008,P001,2025-09-02 16:00:00,69.0
U0000008,P004,2025-09-06 11:00:00,499.0
U0000008,P012,2025-09-07 07:00:00,199.0
U0000009,P010,2025-08-04 00:00:00,79.0
U0000009,P007,2025-08-09 07:00:00,88.0
U0000009,P004,2025-08-14 07:00:00,499.0
U0000009,P005,2025-08-29 02:00:00,49.0
U0000009,P007,2025-09-04 07:00:00,88.0
U0000010,P004,2025-08-04 03:00:00,499.0
U0000010,P005,2025-08-09 16:00:00,49.0
U0000010,P011,2025-08-17 12:00:00,299.0
U0000011,P009,2025-08-12 18:00:00,249.0
U0000011,P006,2025-08-13 08:00:00,89.0
U0000011,P002,2025-09-05 20:00:00,99.0
U0000011,P005,2025-09-14 18:00:00,49.0
U0000012,P003,2025-08-04 14:00:00,199.0
U0000012,P009,2025-08-09 15:00:00,249.0
U0000012,P009,2025-09-05 04:00:00,249.0
U0000012,P011,2025-09-06 00:00:00,299.0
U0000013,P010,2025-08-06 01:00:00,79.0
U0000013,P008,2025-08-13 14:00:00,219.0
U0000013,P003,2025-08-19 10:00:00,199.0
U0000013,P009,2025-08-24 04:00:00,249.0
U0000013,P002,2025-09-08 23:00:00,99.0
U0000014,P010,2025-08-06 07:00:00,79.0
U0000014,P003,2025-08-12 07:00:00,199.0
U0000014,P012,2025-08-13 02:00:00,199.0
U0000014,P005,2025-08-26 09:00:00,49.0
U0000014,P007,2025-08-28 22:00:00,88.0
U0000014,P005,2025-09-16 21:00:00,49.0
U0000015,P010,2025-08-21 16:00:00,79.0
U0000015,P011,2025-08-31 06:00:00,299.0
U0000015,P001,2025-09-11 16:00:00,69.0
U0000015,P012,2025-09-15 03:00:00,199.0
U0000016,P005,2025-08-07 16:00:00,49.0
U0000016,P008,2025-08-27 03:00:00,219.0
U0000017,P003,2025-08-07 16:00:00,199.0
U0000017,P003,2025-08-11 13:00:00,199.0
U0000017,P005,2025-08-12 12:00:00,49.0
U0000017,P003,2025-09-04 10:00:00,199.0
U0000018,P005,2025-08-10 23:00:00,49.0
U0000018,P001,2025-09-06 16:00:00,69.0
U0000019,P008,2025-08-06 03:00:00,219.0
U0000019,P004,2025-08-15 08:00:00,499.0
U0000019,P012,2025-09-08 08:00:00,199.0
U0000019,P010,2025-09-14 04:00:00,79.0
U0000019,P009,2025-09-15 22:00:00,249.0
U0000020,P011,2025-08-05 20:00:00,299.0
U0000020,P006,2025-08-08 05:00:00,89.0
U0000020,P001,2025-08-10 17:00:00,69.0
U0000020,P003,2025-08-11 00:00:00,199.0
U0000020,P009,2025-08-16 02:00:00,249.0
U0000020,P011,2025-08-25 14:00:00,299.0
U0000020,P006,2025-09-01 02:00:00,89.0
U0000020,P010,2025-09-03 19:00:00,79.0
U0000020,P001,2025-09-11 09:00:00,69.0
U0000021,P005,2025-08-09 20:00:00,49.0
U0000021,P010,2025-08-20 17:00:00,79.0
U0000021,P005,2025-08-28 23:00:00,49.0
U0000021,P010,2025-09-01 20:00:00,79.0
U0000021,P010,2025-09-02 04:00:00,79.0
U0000021,P004,2025-09-11 16:00:00,499.0
U0000021,P005,2025-09-13 01:00:00,49.0
U0000022,P012,2025-08-06 01:00:00,199.0
U0000022,P003,2025-08-13 06:00:00,199.0
U0000022,P003,2025-09-06 07:00:00,199.0
U0000022,P010,2025-09-07 05:00:00,79.0
U0000022,P003,2025-09-10 12:00:00,199.0
U0000023,P005,2025-08-07 09:00:00,49.0
U0000023,P003,2025-08-12 02:00:00,199.0
U0000023,P003,2025-08-16 00:00:00,199.0
U0000023,P008,2025-08-23 14:00:00,219.0
U0000023,P001,2025-08-25 07:00:00,69.0
U0000023,P004,2025-09-07 23:00:00,499.0
U0000023,P010,2025-09-10 21:00:00,79.0
U0000023,P005,2025-09-14 13:00:00,49.0
U0000024,P012,2025-08-11 10:00:00,199.0
U0000024,P012,2025-08-12 11:00:00,199.0
U0000024,P005,2025-08-18 16:00:00,49.0
U0000024,P007,2025-09-09 22:00:00,88.0
U0000024,P001,2025-09-11 17:00:00,69.0
U0000025,P004,2025-08-05 11:00:00,499.0
U0000025,P004,2025-08-16 15:00:00,499.0
U0000025,P004,2025-08-20 08:00:00,499.0
